Airport Code,Airport Description
CXF,"- Coldfoot, AK: Coldfoot Airport"
CLL,"- College Station/Bryan, TX: Easterwood Field"
KCR,"- Colorado Creek, AK: Colorado Creek Airport"
COS,"- Colorado Springs, CO: City of Colorado Springs Municipal"
COA,"- Columbia, CA: Columbia Airport"
COU,"- Columbia, MO: Columbia Regional"
CAE,"- Columbia, SC: Columbia Metropolitan"
CSG,"- Columbus, GA: Columbus Airport"
CBM,"- Columbus, MS: Columbus AFB"
GTR,"- Columbus, MS: Golden Triangle Regional"
CMH,"- Columbus, OH: John Glenn Columbus International"
OSU,"- Columbus, OH: Ohio State University"
LCK,"- Columbus, OH: Rickenbacker International"
CCR,"- Concord, CA: Buchanan Field"
USA,"- Concord, NC: Concord Padgett Regional"
JLA,"- Cooper Lodge, AK: Quartz Creek"
CKU,"- Cordova, AK: Cordova Municipal"
CDV,"- Cordova, AK: Merle K Mudhole Smith"
CBA,"- Corner Bay, AK: Corner Bay Airport"
CRP,"- Corpus Christi, TX: Corpus Christi International"
CEZ,"- Cortez, CO: Cortez Municipal"
CVO,"- Corvallis, OR: Corvallis Municipal"
CIL,"- Council, AK: Council Airport"
CGA,"- Craig, AK: Craig Seaplane Base"
CEC,"- Crescent City, CA: Jack McNamara Field"
CKD,"- Crooked Creek, AK: Crooked Creek Airport"
CUW,"- Cube Cove, AK: Cube Cove Airport"
CPX,"- Culebra, PR: Benjamin Rivera Noriega"
CBE,"- Cumberland, MD: Greater Cumberland Regional"
DCK,"- Dahl Creek, AK: Dahl Creek Airport"
ADS,"- Dallas, TX: Addison"
DAL,"- Dallas, TX: Dallas Love Field"
RBD,"- Dallas/Fort Worth, TX: Dallas Executive"
AFW,"- Dallas/Fort Worth, TX: Fort Worth Alliance"
FTW,"- Dallas/Fort Worth, TX: Fort Worth Meacham International"
DGB,"- Danger Bay, AK: Danger Bay Airport"
DAN,"- Danville, VA: Danville Regional"
WQW,"- David River, AK: David River Airport"
MGY,"- Dayton, OH: Dayton-Wright Brothers"
DAY,"- Dayton, OH: James M Cox/Dayton International"
DAB,"- Daytona Beach, FL: Daytona Beach International"
AA8,"- Deadhorse, AK: Badami"
SCC,"- Deadhorse, AK: Deadhorse Airport"
FVZ,"- Deadhorse, AK: Inigok"
A02,"- Deadmans Bay, AK: Deadmans Bay Airport"
DTH,"- Death Valley, CA: Furnace Creek"
DTR,"- Decatur Island, WA: Decatur"
DCU,"- Decatur, AL: Pryor Field Regional"
DEC,"- Decatur, IL: Decatur Airport"
XXV,"- Decatur, WA: Decatur Shores"
A36,"- Deep Bay, AK: Deep Bay Airport"
DHB,"- Deer Harbor, WA: Deer Harbor Marina"
2AK,"- Deer Park, AK: Deer Park Airport"
DRG,"- Deering, AK: Deering Airport"
DRT,"- Del Rio, TX: Del Rio International"
DLF,"- Del Rio, TX: Laughlin AFB"
DJN,"- Delta Junction, AK: Delta Junction Airport"
DMN,"- Deming, NM: Deming Municipal"
DTO,"- Denton, TX: Denton Enterprise"
APA,"- Denver, CO: Centennial"
FTG,"- Denver, CO: Colorado Air and Space Port"
DSM,"- Des Moines, IA: Des Moines International"
DSI,"- Destin, FL: Destin Executive"
DTL,"- Detroit Lakes, MN: Detroit Lakes-Wething Field"
DET,"- Detroit, MI: Coleman A. Young Municipal"
DTT,"- Detroit, MI: Detroit Metropolitan Area"
YIP,"- Detroit, MI: Willow Run"
DVL,"- Devils Lake, ND: Devils Lake Regional"
DIK,"- Dickinson, ND: Dickinson - Theodore Roosevelt Regional"
DLG,"- Dillingham, AK: Dillingham Airport"
DIO,"- Diomede Island, AK: Diomede Heliport"
DDC,"- Dodge City, KS: Dodge City Regional"
FVQ,"- Donlin Creek Mine, AK: Donlin Creek Mine Airport"
DOF,"- Dora Bay, AK: Dora Bay Airport"
DHN,"- Dothan, AL: Dothan Regional"
DOV,"- Dover, DE: Dover AFB"
DRF,"- Drift River, AK: Drift River Airport"
A22,"- Driftwood Bay, AK: Driftwood Bay Airport"
FQQ,"- Dry Bay, AK: Dry Bay Airport"
DUJ,"- DuBois, PA: DuBois Regional"
DBQ,"- Dubuque, IA: Dubuque Regional"
